record_id	doi	title	deposited_filename	size_bytes	md5
21397474	10.5281/zenodo.21397474	Aurora-Lens: Proof and Precedence	Aurora-lens proof and precedence zenodo.pdf	2399891	f477b0757a2598c5460de3ba74bd7006
21436679	10.5281/zenodo.21436679	Prediction Presupposes Persistence	Prediction_Presupposes_Persistence_Stokes_2026.pdf	29772	20e72340965c8b97a0a5b95fd0922b3e
21675842	10.5281/zenodo.21675842	From Policy to Proof: How Aurora-Lens Can Strengthen Runtime Evidence within an ISO/IEC 42001 Artificial Intelligence Management System	Aurora-Lens_ISO-IEC-42001_Runtime-Evidence.pdf	62467	e252594a598220422b335a6f59db795c
21738810	10.5281/zenodo.21738810	Portable Approval State Does Not Convey the Approver-Eligibility Basis	Portable_Approval_State_AuthZEN_ARAP_Draft_1.pdf	111990	e4a458a1f4bd27a2093732667c38b7ed
21773363	10.5281/zenodo.21773363	The Consequence Boundary: Aurora-Lens and the Architecture of Admissibility Before AI Action	The_Consequence_Boundary_Aurora_Lens_Corrected_2026-08-01-1.pdf	2523912	afdfa291c3e914aa2af946e6d36ebda4
21792941	10.5281/zenodo.21792941	The World Before the Word	The_World_Before_the_Word_FINAL.pdf	136927	2b09c7ac935c9881901a90c3480eb13a
21839140	10.5281/zenodo.21839140	What Enters the Clearing	What-Enters-the-Clearing-Zenodo.pdf	96039	1294ff446c89119d475e190b8e2998f6
21930519	10.5281/zenodo.21930519	Aurora-Lens Public Canonical Statement	Aurora-Lens_Public_Canonical_Statement_v1.0_DOI.pdf	214646	ba3629914a3b9b177c895167d18a220d
22112413	10.5281/zenodo.22112413	The Maintained Unresolved State: Priority Record and Documented Chronology	ex6-redact-8b82872.diff	1228	666c1c51782e3cc8e3c7b38c33c3d903
22112413	10.5281/zenodo.22112413	The Maintained Unresolved State: Priority Record and Documented Chronology	ex2-unresolved-4dd26ac.diff	20309	fbc71ef8f333e4e26e08438ce85cecd8
22112413	10.5281/zenodo.22112413	The Maintained Unresolved State: Priority Record and Documented Chronology	evidence-manifest.md	7850	dd0676d0f5846819fe0578ab3b4aab09
22112413	10.5281/zenodo.22112413	The Maintained Unresolved State: Priority Record and Documented Chronology	ex9-fingerprints-a02e118.diff	3000	7a48b002e0c5222b8ac28948291056c7
22112413	10.5281/zenodo.22112413	The Maintained Unresolved State: Priority Record and Documented Chronology	ex5-commit-log.txt	3278	8cc29f2c09b6944b2eeeabcc1d1e643b
22112413	10.5281/zenodo.22112413	The Maintained Unresolved State: Priority Record and Documented Chronology	ex1-baseline-a172287.txt	502	89754dd869b449c80fb07e798c21a168
22112413	10.5281/zenodo.22112413	The Maintained Unresolved State: Priority Record and Documented Chronology	maintained-unresolved-full-record.md	22861	ad2f60960c607d2def1fd41919dd81aa
22112413	10.5281/zenodo.22112413	The Maintained Unresolved State: Priority Record and Documented Chronology	Grok 26 Aug 2026.txt	8706	0cd6defdcc46a20f7e5924f21bedf2ef
22112413	10.5281/zenodo.22112413	The Maintained Unresolved State: Priority Record and Documented Chronology	Claude 26 Aug 2026.txt	8491	4a7d4b7281a64decac562c0374ed6a93
22112413	10.5281/zenodo.22112413	The Maintained Unresolved State: Priority Record and Documented Chronology	ex4-minimize-136fdb5.diff	109022	d4865fdb5c487b19cd03b7f6f2c503cf
22112413	10.5281/zenodo.22112413	The Maintained Unresolved State: Priority Record and Documented Chronology	Prompt 26 Aug 2026.txt	2393	7783f26e80fe7c0c9238aa6b11aee149
22112413	10.5281/zenodo.22112413	The Maintained Unresolved State: Priority Record and Documented Chronology	ex3-notice-00ecb4f.diff	958	8fc63941be1863f61cfbf9d2afeb95f0
22112413	10.5281/zenodo.22112413	The Maintained Unresolved State: Priority Record and Documented Chronology	ex8-generalize-5fc445e.diff	3404	1cfc2d5ac787bf7bbe8de615bed0df78
22112413	10.5281/zenodo.22112413	The Maintained Unresolved State: Priority Record and Documented Chronology	ex7-hidevocab-d86958b.diff	6890	f86db1ea6df186eb5101e804b0977d9e
22112413	10.5281/zenodo.22112413	The Maintained Unresolved State: Priority Record and Documented Chronology	Chatgpt temporary chat 26 Aug 2026.txt	25526	231143d230f2767d1bb9f92fc8e4c99b
22112413	10.5281/zenodo.22112413	The Maintained Unresolved State: Priority Record and Documented Chronology	Gemini 26 Aug 2026.txt	5744	2e1c9f5777d9381be6384c051f20c62c
22112413	10.5281/zenodo.22112413	The Maintained Unresolved State: Priority Record and Documented Chronology	Chatgpt contaminated 26 Aug 2026.txt	12973	a96e6df2e96f0ff95ffeb352f25a77ca
